"ppnr" "TimePerception" "Valence" "Arousal" "Condition"
"1" 1 -0.5 5 1 1
"2" 1 -0.466666667 5 1 1
"3" 1 -0.733333333 5 1 1
"4" 1 -0.6 6 2 1
"5" 1 -0.633333333 6 4 1
"6" 1 -0.571428571 6 3 1
"7" 1 -0.545454545 4 2 1
"8" 1 -0.611111111 5 1 1
"9" 1 -0.275 5 1 1
"10" 1 -0.7 4 2 1
"11" 1 0.1 4 1 0
"12" 1 -0.55 5 1 0
"13" 1 -0.428571429 7 4 0
"14" 1 -0.727272727 6 2 0
"15" 1 -0.575 7 5 0
"16" 1 -0.4 5 2 0
"17" 1 -0.277777778 6 4 0
"18" 1 -0.493333333 4 3 0
"19" 1 -0.555555556 4 5 0
"20" 1 -0.633333333 2 5 0
"21" 2 -0.4 5 1 1
"22" 2 0 5 1 1
"23" 2 -0.285714286 6 2 1
"24" 2 0.363636364 7 6 1
"25" 2 0.25 7 5 1
"26" 2 -0.4 6 4 1
"27" 2 0.666666667 4 4 1
"28" 2 0.2 3 5 1
"29" 2 0.444444444 3 5 1
"30" 2 0.166666667 2 6 1
"31" 2 -0.3 5 1 0
"32" 2 0.466666667 6 2 0
"33" 2 -0.166666667 6 4 0
"34" 2 0.5 6 5 0
"35" 2 0.055555556 7 7 0
"36" 2 -0.285714286 7 7 0
"37" 2 0.363636364 3 6 0
"38" 2 -0.166666667 6 2 0
"39" 2 0.625 4 7 0
"40" 2 -0.6 5 2 0
"41" 3 -0.5 5 1 1
"42" 3 0.125 5 1 1
"43" 3 -0.285714286 6 3 1
"44" 3 -0.181818182 6 4 1
"45" 3 -0.625 7 5 1
"46" 3 -0.5 7 6 1
"47" 3 -0.444444444 6 5 1
"48" 3 -0.466666667 3 5 1
"49" 3 -0.333333333 2 7 1
"50" 3 -0.666666667 1 8 1
"51" 3 -0.5 6 1 0
"52" 3 -0.6 5 2 0
"53" 3 -0.333333333 6 1 0
"54" 3 -0.25 7 5 0
"55" 3 0 4 6 0
"56" 3 -0.428571429 6 6 0
"57" 3 -0.181818182 6 5 0
"58" 3 -0.666666667 3 3 0
"59" 3 -0.625 3 7 0
"60" 3 -0.7 3 4 0
"61" 4 0 2 1 1
"62" 4 0.6 3 3 1
"63" 4 0 6 7 1
"64" 4 0.5 7 5 1
"65" 4 -0.333333333 9 7 1
"66" 4 -0.285714286 5 6 1
"67" 4 0.363636364 7 6 1
"68" 4 -0.444444444 5 3 1
"69" 4 0.5 7 7 1
"70" 4 -0.25 8 7 1
"71" 4 2 5 2 0
"72" 4 0.5 5 2 0
"73" 4 -0.285714286 8 7 0
"74" 4 0.363636364 7 7 0
"75" 4 0.5 6 6 0
"76" 4 0 6 4 0
"77" 4 2.333333333 6 7 0
"78" 4 0.2 4 8 0
"79" 4 0.333333333 7 8 0
"80" 4 0 1 9 0
"81" 5 0.75 5 1 1
"82" 5 0.875 5 1 1
"83" 5 1.142857143 5 1 1
"84" 5 0.636363636 5 1 1
"85" 5 0.5 7 5 1
"86" 5 0 6 3 1
"87" 5 2.333333333 4 4 1
"88" 5 0.6 4 2 1
"89" 5 0.333333333 3 4 1
"90" 5 0 3 4 1
"91" 5 0 5 1 0
"92" 5 -0.733333333 5 1 0
"93" 5 0.166666667 6 1 0
"94" 5 -0.625 5 1 0
"95" 5 -0.5 6 4 0
"96" 5 -0.714285714 6 5 0
"97" 5 0.090909091 5 1 0
"98" 5 -0.444444444 5 1 0
"99" 5 -0.25 5 2 0
"100" 5 -0.5 5 2 0
"101" 6 -0.45 5 1 1
"102" 6 -0.4375 5 3 1
"103" 6 -0.714285714 6 3 1
"104" 6 -0.545454545 6 4 1
"105" 6 -0.55 7 6 1
"106" 6 -0.7 5 2 1
"107" 6 -0.555555556 5 3 1
"108" 6 -0.533333333 5 2 1
"109" 6 -0.5 6 6 1
"110" 6 -0.666666667 4 3 1
"111" 6 -0.6 5 1 0
"112" 6 -0.6 5 1 0
"113" 6 -0.333333333 6 2 0
"114" 6 -0.5625 6 2 0
"115" 6 -0.611111111 6 6 0
"116" 6 -0.714285714 4 3 0
"117" 6 -0.181818182 4 4 0
"118" 6 -0.722222222 5 2 0
"119" 6 -0.5 5 3 0
"120" 6 -0.75 5 2 0
"121" 7 0.5 4 2 1
"122" 7 0.6 5 3 1
"123" 7 2 6 5 1
"124" 7 0.125 6 6 1
"125" 7 -0.333333333 5 6 1
"126" 7 -0.571428571 6 7 1
"127" 7 0.636363636 5 4 1
"128" 7 -0.444444444 5 3 1
"129" 7 0.125 5 6 1
"130" 7 0 4 4 1
"131" 7 -0.75 2 1 0
"132" 7 0.875 2 3 0
"133" 7 -0.285714286 8 6 0
"134" 7 1.454545455 6 6 0
"135" 7 -0.25 6 7 0
"136" 7 -0.7 7 6 0
"137" 7 -0.444444444 4 4 0
"138" 7 1.4 4 6 0
"139" 7 1 3 7 0
"140" 7 0.5 5 7 0
"141" 8 -0.5 1 1 1
"142" 8 -0.75 4 4 1
"143" 8 -0.714285714 6 7 1
"144" 8 -0.181818182 5 6 1
"145" 8 -0.7 7 5 1
"146" 8 -0.8 4 5 1
"147" 8 -0.555555556 6 7 1
"148" 8 -0.4 8 8 1
"149" 8 -0.333333333 6 6 1
"150" 8 -0.333333333 6 7 1
"151" 8 -0.8 3 3 0
"152" 8 -0.6 6 6 0
"153" 8 -0.5 7 7 0
"154" 8 -0.125 8 8 0
"155" 8 -0.722222222 7 7 0
"156" 8 -0.714285714 5 5 0
"157" 8 -0.090909091 7 8 0
"158" 8 -0.722222222 6 7 0
"159" 8 -0.5 6 7 0
"160" 8 -0.75 5 7 0
"161" 9 -0.5 2 2 1
"162" 9 0.125 5 3 1
"163" 9 -0.285714286 5 1 1
"164" 9 -0.181818182 7 1 1
"165" 9 0.5 6 6 1
"166" 9 -0.5 5 4 1
"167" 9 0.111111111 3 4 1
"168" 9 -0.2 7 6 1
"169" 9 0 3 3 1
"170" 9 0 2 4 1
"171" 9 0 5 1 0
"172" 9 -0.2 5 1 0
"173" 9 0 8 3 0
"174" 9 0.125 8 7 0
"175" 9 -0.333333333 5 4 0
"176" 9 -0.285714286 3 4 0
"177" 9 -0.181818182 3 3 0
"178" 9 -0.166666667 6 4 0
"179" 9 -0.25 4 6 0
"180" 9 -0.5 2 3 0
"181" 10 -0.1 5 1 1
"182" 10 -0.6 4 1 1
"183" 10 -0.733333333 5 1 1
"184" 10 -0.375 7 3 1
"185" 10 -0.555555556 6 4 1
"186" 10 -0.428571429 6 3 1
"187" 10 -0.454545455 2 4 1
"188" 10 -0.722222222 4 2 1
"189" 10 -0.625 7 2 1
"190" 10 -0.75 5 1 1
"191" 10 -0.5 6 1 0
"192" 10 -0.25 5 1 0
"193" 10 -0.571428571 5 1 0
"194" 10 0.090909091 7 2 0
"195" 10 -0.375 6 3 0
"196" 10 -0.6 5 2 0
"197" 10 -0.444444444 5 2 0
"198" 10 -0.2 5 2 0
"199" 10 0.333333333 7 4 0
"200" 10 0 6 3 0
"201" 11 0.5 5 1 1
"202" 11 0.125 5 1 1
"203" 11 -0.285714286 6 7 1
"204" 11 0.363636364 7 6 1
"205" 11 0.125 7 8 1
"206" 11 -0.4 4 3 1
"207" 11 0.666666667 4 7 1
"208" 11 0.6 3 6 1
"209" 11 -0.166666667 1 7 1
"210" 11 0 1 8 1
"211" 11 -0.5 3 1 0
"212" 11 -0.2 3 1 0
"213" 11 -0.333333333 6 5 0
"214" 11 0.125 7 7 0
"215" 11 -0.166666667 6 7 0
"216" 11 -0.571428571 6 7 0
"217" 11 -0.181818182 2 6 0
"218" 11 -0.722222222 3 4 0
"219" 11 -0.625 2 7 0
"220" 11 -0.25 2 7 0
"221" 12 -0.25 5 1 1
"222" 12 0.5 5 5 1
"223" 12 -0.285714286 8 6 1
"224" 12 -0.181818182 1 7 1
"225" 12 -0.25 6 6 1
"226" 12 0 9 7 1
"227" 12 -0.444444444 3 4 1
